Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-04T14:06:18.520000Z | Window=±12s | Peak=1.0757e+03 | Mean=1.4545e+01
Trigger=2025-02-04T14:25:44.470000Z | Window=±12s | Peak=2.0236e+02 | Mean=3.8775e+00
Trigger=2025-02-04T14:25:56.770000Z | Window=±12s | Peak=5.5683e+02 | Mean=4.3391e+00
Trigger=2025-02-04T14:30:29.910000Z | Window=±12s | Peak=1.2583e+03 | Mean=9.4303e+00
Trigger=2025-02-04T14:38:57.130000Z | Window=±12s | Peak=1.2019e+03 | Mean=4.3963e+00
Trigger=2025-02-04T15:34:17.170000Z | Window=±12s | Peak=2.6942e+02 | Mean=5.2915e+00
Trigger=2025-02-04T16:00:20.230000Z | Window=±12s | Peak=2.0787e+02 | Mean=2.5474e+00
Trigger=2025-02-04T16:09:14.610000Z | Window=±12s | Peak=1.7612e+03 | Mean=6.6173e+00
Trigger=2025-02-04T16:15:10.860000Z | Window=±12s | Peak=3.3063e+02 | Mean=3.1980e+00
Trigger=2025-02-04T16:32:06.620000Z | Window=±12s | Peak=5.8539e+02 | Mean=3.6378e+00
Trigger=2025-02-04T16:46:39.210000Z | Window=±12s | Peak=5.9595e+02 | Mean=3.9743e+00
Trigger=2025-02-04T17:01:42.170000Z | Window=±12s | Peak=1.0995e+03 | Mean=4.8513e+00
Trigger=2025-02-04T17:36:49.170000Z | Window=±12s | Peak=1.3599e+03 | Mean=3.9993e+00
Trigger=2025-02-04T18:36:38.670000Z | Window=±12s | Peak=8.2839e+02 | Mean=2.9080e+00
Trigger=2025-02-04T18:39:07.590000Z | Window=±12s | Peak=8.8105e+02 | Mean=4.0754e+00
Trigger=2025-02-04T19:57:29.670000Z | Window=±12s | Peak=1.4942e+03 | Mean=3.2854e+00
Trigger=2025-02-04T20:47:03.110000Z | Window=±12s | Peak=1.7697e+03 | Mean=3.9568e+00
Trigger=2025-02-04T21:46:41.520000Z | Window=±12s | Peak=2.6083e+02 | Mean=3.0228e+00
Trigger=2025-02-04T22:20:45.800000Z | Window=±12s | Peak=2.0805e+02 | Mean=4.9640e+00
Trigger=2025-02-04T22:40:59.720000Z | Window=±12s | Peak=1.1994e+03 | Mean=3.1911e+00
Trigger=2025-02-05T00:46:50.930000Z | Window=±12s | Peak=1.2641e+03 | Mean=3.2549e+00
Trigger=2025-02-05T02:57:16.590000Z | Window=±12s | Peak=3.1820e+02 | Mean=4.3054e+00
Trigger=2025-02-05T02:57:54.980000Z | Window=±12s | Peak=7.4735e+02 | Mean=9.3587e+00
Trigger=2025-02-05T03:26:33.040000Z | Window=±12s | Peak=8.8171e+02 | Mean=2.4427e+00
